Player,Pos,Team,G,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS
Max Muncy,3B,LAD,7,13,5,0,0,2,2,0,2,.385,.385,.846,1.231
Shohei Ohtani,TWP,LAD,12,20,6,1,0,2,2,3,4,.300,.391,.650,1.041
Freddie Freeman,1B,LAD,8,15,4,0,0,1,2,2,1,.267,.389,.467,.856
Dalton Rushing,C,LAD,4,7,4,1,0,1,2,0,1,.571,.625,1.143,1.768
Kyle Tucker,RF,LAD,10,15,3,0,0,1,3,2,6,.200,.278,.400,.678
Mookie Betts,SS,LAD,4,6,0,0,0,0,0,0,1,.000,.000,.000,.000
Alex Call,RF,LAD,2,3,2,1,0,0,0,2,0,.667,.800,1.000,1.800
Santiago Espinal,3B,LAD,3,7,1,0,0,0,2,0,1,.143,.143,.143,.286
Alex Freeland,2B,LAD,5,8,1,1,0,0,0,0,4,.125,.125,.250,.375
Teoscar Hernández,RF,LAD,8,13,2,0,0,0,0,2,6,.154,.267,.154,.421
Hyeseong Kim,2B,LAD,3,3,1,0,0,0,0,1,1,.333,.500,.333,.833
Andy Pages,CF,LAD,8,12,4,2,0,0,2,2,4,.333,.429,.500,.929
Miguel Rojas,2B,LAD,7,11,5,1,0,0,0,2,2,.455,.538,.545,1.083
Will Smith,C,LAD,7,7,2,0,0,0,0,3,3,.286,.500,.286,.786
