name,pos,mlbam_id,season,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Alex Call,RF,669743,2022,vs LHP,24,52,48,9,1,1,1,3,4,13,0,0.188,0.25,0.313,0.563,0.235,15,0,0,0,0
Alex Call,RF,669743,2022,vs LHP,4,7,5,2,0,0,0,0,2,1,0,0.4,0.571,0.4,0.971,0.5,2,0,0,0,0
Alex Call,RF,669743,2022,vs LHP,28,59,53,11,1,1,1,3,6,14,0,0.208,0.288,0.321,0.609,0.263,17,0,0,0,0
Alex Call,RF,669743,2022,vs RHP,7,9,7,0,0,0,0,0,2,3,0,0.0,0.222,0.0,0.222,0.0,0,0,0,0,0
Alex Call,RF,669743,2022,vs RHP,29,63,54,16,2,0,4,10,7,13,0,0.296,0.397,0.556,0.953,0.324,30,0,0,2,0
Alex Call,RF,669743,2022,vs RHP,36,72,61,16,2,0,4,10,9,16,0,0.262,0.375,0.492,0.867,0.293,30,0,0,2,0
Alex Call,RF,669743,2023,vs LHP,74,159,135,34,7,0,4,14,22,27,0,0.252,0.352,0.393,0.745,0.283,53,2,0,0,0
Alex Call,RF,669743,2023,vs RHP,105,280,240,41,7,1,4,24,31,51,0,0.171,0.282,0.258,0.54,0.2,62,0,3,6,0
Alex Call,RF,669743,2024,vs LHP,16,36,31,9,1,0,2,6,4,8,0,0.29,0.389,0.516,0.905,0.333,16,0,0,1,0
Alex Call,RF,669743,2024,vs RHP,24,77,68,25,8,0,1,8,8,11,0,0.368,0.442,0.529,0.971,0.429,36,0,0,1,0
Alex Call,RF,669743,2025,vs LHP,38,81,70,22,3,0,2,11,6,12,0,0.314,0.359,0.443,0.802,0.345,31,2,3,0,0
Alex Call,RF,669743,2025,vs LHP,22,38,35,8,2,0,2,4,2,10,0,0.229,0.263,0.457,0.72,0.25,16,1,0,0,0
Alex Call,RF,669743,2025,vs LHP,60,119,105,30,5,0,4,15,8,22,0,0.286,0.328,0.448,0.776,0.317,47,3,3,0,0
Alex Call,RF,669743,2025,vs RHP,19,47,38,10,2,0,0,1,8,9,0,0.263,0.391,0.316,0.707,0.345,12,0,1,0,0
Alex Call,RF,669743,2025,vs RHP,55,156,127,32,6,2,1,15,20,24,0,0.252,0.377,0.354,0.731,0.301,45,1,2,6,0
Alex Call,RF,669743,2025,vs RHP,74,203,165,42,8,2,1,16,28,33,0,0.255,0.38,0.345,0.725,0.311,57,1,3,6,0
Alex Freeland,2B,690976,2025,vs LHP,9,16,14,2,0,0,0,0,2,8,0,0.143,0.25,0.143,0.393,0.333,2,0,0,0,0
Alex Freeland,2B,690976,2025,vs RHP,28,81,70,14,2,1,2,6,9,27,0,0.2,0.3,0.343,0.643,0.293,24,0,1,1,0
Andy Pages,CF,681624,2024,vs LHP,55,107,98,35,7,0,3,9,7,24,0,0.357,0.396,0.52,0.916,0.444,51,1,0,0,0
Andy Pages,CF,681624,2024,vs RHP,108,336,305,65,16,1,10,37,22,84,0,0.213,0.277,0.37,0.647,0.257,113,3,0,6,0
