name,mlbam_id,team,season,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Aaron Judge,592450,NYY,2016,vs LHP,11,18,15,1,0,0,0,0,3,10,0,0.067,0.222,0.067,0.289,0.2,1,0,0,0,0
Aaron Judge,592450,NYY,2016,vs RHP,26,77,69,14,2,0,4,10,6,32,0,0.203,0.273,0.406,0.679,0.294,28,1,0,1,0
Aaron Judge,592450,NYY,2017,vs LHP,68,155,113,26,4,1,8,16,40,48,0,0.23,0.439,0.496,0.935,0.316,56,0,0,2,5
Aaron Judge,592450,NYY,2017,vs RHP,152,523,429,128,20,2,44,98,87,160,0,0.298,0.417,0.662,1.079,0.367,284,4,0,3,6
Aaron Judge,592450,NYY,2018,vs LHP,64,143,111,29,7,0,8,12,31,43,0,0.261,0.427,0.541,0.968,0.35,60,0,0,1,3
Aaron Judge,592450,NYY,2018,vs RHP,106,355,302,86,15,0,19,55,45,109,0,0.285,0.377,0.523,0.9,0.374,158,5,0,3,0
Aaron Judge,592450,NYY,2019,vs LHP,50,122,99,34,7,0,8,19,22,28,0,0.343,0.467,0.657,1.124,0.413,65,0,0,1,2
Aaron Judge,592450,NYY,2019,vs RHP,101,325,279,69,11,1,19,36,42,113,0,0.247,0.349,0.498,0.847,0.338,139,1,0,2,2
Aaron Judge,592450,NYY,2020,vs LHP,13,28,25,6,0,0,3,8,2,9,0,0.24,0.321,0.6,0.921,0.231,15,0,0,1,0
Aaron Judge,592450,NYY,2020,vs RHP,26,86,76,20,3,0,6,14,8,23,0,0.263,0.341,0.539,0.88,0.298,41,0,0,1,0
Aaron Judge,592450,NYY,2021,vs LHP,89,188,161,48,3,0,15,32,24,44,0,0.298,0.394,0.596,0.99,0.32,96,1,0,2,1
Aaron Judge,592450,NYY,2021,vs RHP,142,445,389,110,21,0,24,66,51,114,0,0.283,0.364,0.522,0.886,0.337,203,4,0,1,1
Aaron Judge,592450,NYY,2022,vs LHP,77,167,135,37,5,0,14,35,26,50,0,0.274,0.388,0.622,1.01,0.311,84,3,0,1,7
Aaron Judge,592450,NYY,2022,vs RHP,152,529,435,140,23,0,48,96,85,125,0,0.322,0.436,0.706,1.142,0.348,307,2,0,5,12
Aaron Judge,592450,NYY,2023,vs LHP,33,74,62,17,1,0,8,16,11,21,0,0.274,0.378,0.677,1.055,0.265,42,1,0,0,1
Aaron Judge,592450,NYY,2023,vs RHP,103,384,305,81,15,0,29,59,77,109,0,0.266,0.411,0.6,1.011,0.308,183,2,0,0,8
Aaron Judge,592450,NYY,2024,vs LHP,86,184,132,41,8,0,16,38,50,46,0,0.311,0.505,0.735,1.24,0.357,97,0,0,2,9
Aaron Judge,592450,NYY,2024,vs RHP,151,520,427,139,28,1,42,106,83,125,0,0.326,0.441,0.691,1.132,0.37,295,2,0,7,11
Aaron Judge,592450,NYY,2025,vs LHP,77,161,123,42,7,0,16,30,37,37,0,0.341,0.491,0.789,1.28,0.366,97,1,0,0,22
Aaron Judge,592450,NYY,2025,vs RHP,148,518,418,137,23,2,37,84,87,123,0,0.328,0.446,0.658,1.104,0.379,275,6,0,7,14
Adam Frazier,624428,LAA,2016,vs LHP,16,26,24,10,0,0,0,3,1,3,0,0.417,0.423,0.417,0.84,0.455,10,1,0,0,0
Adam Frazier,624428,LAA,2016,vs RHP,57,134,122,34,8,1,2,8,11,23,0,0.279,0.343,0.41,0.753,0.33,50,0,0,1,0
Adam Frazier,624428,LAA,2017,vs LHP,44,63,56,17,1,0,0,10,3,11,0,0.304,0.355,0.321,0.676,0.37,18,1,1,2,0
Adam Frazier,624428,LAA,2017,vs RHP,113,391,350,95,19,6,6,43,33,46,0,0.271,0.343,0.411,0.754,0.297,144,2,0,6,2
