name,pos,roster_name,mlbam_id
Max Muncy,3B,Max Muncy,571970
Shohei Ohtani,TWP,Shohei Ohtani,660271
Freddie Freeman,1B,Freddie Freeman,518692
Dalton Rushing,C,Dalton Rushing,687221
Kyle Tucker,RF,Kyle Tucker,663656
Mookie Betts,SS,Mookie Betts,605141
Alex Call,RF,Alex Call,669743
Santiago Espinal,3B,Santiago Espinal,669289
Alex Freeland,2B,Alex Freeland,690976
Teoscar Hernández,RF,Teoscar Hernández,606192
Hyeseong Kim,2B,Hyeseong Kim,808975
Andy Pages,CF,Andy Pages,681624
Miguel Rojas,2B,Miguel Rojas,500743
Will Smith,C,Will Smith,669257
