mlbam_id,name,pos,team,IP,GS,G,W,L,ERA,WHIP,K9,BB9,K,BB,H_allowed,HR_allowed,role
608331,Max Fried,P,NYY,52.7,8,8,4,1,2.39,0.89,7.35,2.56,43,15,32,1,SP
693645,Cam Schlittler,P,NYY,47.3,8,8,5,1,1.52,0.87,10.08,1.71,53,9,32,1,SP
645261,Sandy Alcantara,P,MIA,47.3,7,7,3,2,3.04,1.16,5.89,2.85,31,15,40,4,SP
667755,José Soriano,P,LAA,46.7,8,8,5,2,1.74,1.09,10.41,3.66,54,19,32,5,SP
669923,George Kirby,P,SEA,45.0,7,7,4,2,3.00,1.13,6.80,2.20,34,11,40,4,SP
608379,Michael Wacha,P,KC,44.3,7,7,3,2,3.05,1.06,7.31,3.05,36,15,32,5,SP
657277,Logan Webb,P,SF,44.0,7,7,2,3,4.30,1.36,7.77,3.07,38,15,45,3,SP
669302,Logan Gilbert,P,SEA,44.0,8,8,2,3,4.30,1.30,8.80,2.05,43,10,47,8,SP
663436,Davis Martin,P,CWS,44.0,7,7,5,1,1.64,1.02,8.80,1.64,43,8,37,2,SP
808967,Yoshinobu Yamamoto,P,LAD,43.7,7,7,3,2,3.09,1.01,8.24,2.06,40,10,34,5,SP
607625,Seth Lugo,P,KC,43.7,7,7,1,1,2.68,1.24,7.63,2.68,37,13,41,1,SP
669373,Tarik Skubal,P,DET,43.3,7,7,3,2,2.70,0.95,9.35,1.25,45,6,35,2,SP
668909,Gavin Williams,P,CLE,43.3,7,7,5,1,2.70,1.02,11.01,3.95,53,19,25,6,SP
693821,Bryce Elder,P,ATL,43.0,7,7,3,1,1.88,1.05,7.53,2.72,36,13,32,2,SP
605280,Clay Holmes,P,NYM,42.7,7,7,4,2,1.69,0.98,6.54,2.95,31,14,28,3,SP
607259,Nick Martinez,P,TB,42.0,7,7,3,1,1.71,1.02,6.00,2.14,28,10,33,3,SP
519242,Chris Sale,P,ATL,42.0,7,7,6,1,2.14,0.90,10.50,2.57,49,12,26,5,SP
677952,Braxton Ashcraft,P,PIT,41.7,7,7,1,2,3.02,1.08,9.72,3.02,45,14,31,3,SP
676106,Emerson Hancock,P,SEA,41.7,7,7,2,1,2.59,0.96,9.94,1.30,46,6,34,7,SP
684007,Shota Imanaga,P,CHC,41.3,7,7,3,2,2.40,0.85,9.36,2.18,43,10,25,3,SP
665795,Edward Cabrera,P,CHC,41.3,7,7,3,0,3.27,1.28,8.06,3.05,37,14,39,5,SP
800048,Parker Messick,P,CLE,41.3,7,7,3,1,2.40,0.92,9.58,2.18,44,10,28,4,SP
