name,pos,mlbam_id,scope,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Alex Call,RF,669743,Career,vs Peterson,1,1,1,1,0,0,0,1,0,0,0,1.0,1.0,1.0,2.0,1.0,1,0,0,0,0
Alex Freeland,2B,690976,Career,vs Peterson,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Andy Pages,CF,681624,Career,vs Peterson,1,2,2,1,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.5,1,0,0,0,0
Dalton Rushing,C,687221,Career,vs Peterson,1,3,3,0,0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Freddie Freeman,1B,518692,Career,vs Peterson,8,22,21,5,0,0,2,4,1,7,0,0.238,0.273,0.524,0.797,0.25,11,0,0,0,0
Hyeseong Kim,2B,808975,Career,vs Peterson,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Kyle Tucker,RF,663656,Career,vs Peterson,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Max Muncy,3B,571970,Career,vs Peterson,1,3,3,2,0,0,1,1,0,0,0,0.667,0.667,1.667,2.334,0.5,5,0,0,0,0
Miguel Rojas,2B,500743,Career,vs Peterson,9,20,18,7,3,0,1,3,2,2,0,0.389,0.45,0.722,1.172,0.4,13,0,0,0,0
Mookie Betts,SS,605141,Career,vs Peterson,1,2,2,1,1,0,0,3,0,0,0,0.5,0.5,1.0,1.5,0.5,2,0,0,0,0
Santiago Espinal,3B,669289,Career,vs Peterson,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Shohei Ohtani,TWP,660271,Career,vs Peterson,1,1,1,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1,0,0,0,0
Teoscar Hernández,RF,606192,Career,vs Peterson,4,10,10,3,1,0,1,3,0,2,0,0.3,0.3,0.7,1.0,0.286,7,0,0,0,0
Will Smith,C,669257,Career,vs Peterson,2,6,6,3,1,0,1,2,0,0,0,0.5,0.5,1.167,1.667,0.4,7,0,0,0,0
