name,pos,mlbam_id,scope,split,G,PA,AB,H,2B,3B,HR,RBI,BB,SO,SB,BA,OBP,SLG,OPS,BABIP,TB,SF,SH,HBP,IBB
Alex Call,RF,669743,2026,vs LHP,2,5,3,2,1,0,0,0,2,0,0,0.667,0.8,1.0,1.8,0.667,3,0,0,0,0
Alex Call,RF,669743,Career,vs LHP,180,378,327,86,15,1,11,38,42,71,0,0.263,0.344,0.416,0.76,0.3,136,5,3,1,0
Alex Freeland,2B,690976,2026,vs LHP,5,8,8,1,1,0,0,0,0,4,0,0.125,0.125,0.25,0.375,0.25,2,0,0,0,0
Alex Freeland,2B,690976,Career,vs LHP,14,24,22,3,1,0,0,0,2,12,0,0.136,0.208,0.182,0.39,0.3,4,0,0,0,0
Andy Pages,CF,681624,2026,vs LHP,8,14,12,4,2,0,0,2,2,4,0,0.333,0.429,0.5,0.929,0.5,6,0,0,0,0
Andy Pages,CF,681624,Career,vs LHP,148,275,257,85,17,0,6,27,15,63,0,0.331,0.369,0.467,0.836,0.418,120,1,0,1,0
Dalton Rushing,C,687221,2026,vs LHP,4,8,7,4,1,0,1,2,0,1,0,0.571,0.625,1.143,1.768,0.6,8,0,0,1,0
Dalton Rushing,C,687221,Career,vs LHP,29,49,42,10,1,0,1,8,3,16,0,0.238,0.306,0.333,0.639,0.333,14,2,0,2,0
Freddie Freeman,1B,518692,2026,vs LHP,8,18,15,4,0,0,1,2,2,1,0,0.267,0.389,0.467,0.856,0.231,7,0,0,1,0
Freddie Freeman,1B,518692,Career,vs LHP,1410,2877,2536,694,146,10,98,366,258,640,0,0.274,0.352,0.455,0.807,0.327,1154,22,0,61,8
Hyeseong Kim,2B,808975,2026,vs LHP,3,4,3,1,0,0,0,0,1,1,0,0.333,0.5,0.333,0.833,0.5,1,0,0,0,0
Hyeseong Kim,2B,808975,Career,vs LHP,21,25,24,9,1,0,1,3,1,9,0,0.375,0.4,0.542,0.942,0.571,13,0,0,0,0
Kyle Tucker,RF,663656,2026,vs LHP,10,18,15,3,0,0,1,3,2,6,0,0.2,0.278,0.4,0.678,0.222,6,1,0,0,0
Kyle Tucker,RF,663656,Career,vs LHP,548,1114,993,265,50,7,57,201,101,163,0,0.267,0.336,0.504,0.84,0.266,500,9,0,7,0
Max Muncy,3B,571970,2026,vs LHP,7,13,13,5,0,0,2,2,0,2,0,0.385,0.385,0.846,1.231,0.333,11,0,0,0,0
Max Muncy,3B,571970,Career,vs LHP,559,1033,879,193,24,2,61,159,120,248,0,0.22,0.33,0.46,0.79,0.229,404,6,0,28,3
Miguel Rojas,2B,500743,2026,vs LHP,7,13,11,5,1,0,0,0,2,2,0,0.455,0.538,0.545,1.083,0.556,6,0,0,0,0
Miguel Rojas,2B,500743,Career,vs LHP,613,1227,1114,304,68,3,25,117,90,119,0,0.273,0.333,0.407,0.74,0.286,453,7,2,14,6
Mookie Betts,SS,605141,2026,vs LHP,4,6,6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Mookie Betts,SS,605141,Career,vs LHP,783,1785,1549,452,102,11,76,231,213,221,0,0.292,0.376,0.519,0.895,0.296,804,17,1,5,22
Santiago Espinal,3B,669289,2026,vs LHP,3,7,7,1,0,0,0,2,0,1,0,0.143,0.143,0.143,0.286,0.167,1,0,0,0,0
Santiago Espinal,3B,669289,Career,vs LHP,352,642,584,169,38,0,10,72,49,71,0,0.289,0.342,0.406,0.748,0.313,237,5,4,0,3
Shohei Ohtani,TWP,660271,2026,vs LHP,12,23,20,6,1,0,2,2,3,4,0,0.3,0.391,0.65,1.041,0.286,13,0,0,0,0
Shohei Ohtani,TWP,660271,Career,vs LHP,676,1418,1256,332,56,17,73,189,144,389,0,0.264,0.342,0.51,0.852,0.324,641,6,0,8,11
Teoscar Hernández,RF,606192,2026,vs LHP,8,15,13,2,0,0,0,0,2,6,0,0.154,0.267,0.154,0.421,0.286,2,0,0,0,0
Teoscar Hernández,RF,606192,Career,vs LHP,560,1153,1058,289,67,5,70,191,85,322,0,0.273,0.328,0.544,0.872,0.326,576,6,0,4,6
Will Smith,C,669257,2026,vs LHP,7,10,7,2,0,0,0,0,3,3,0,0.286,0.5,0.286,0.786,0.5,2,0,0,0,0
Will Smith,C,669257,Career,vs LHP,398,804,685,175,40,1,33,88,104,150,0,0.255,0.358,0.461,0.819,0.28,316,6,0,9,16
