target,model,decile,n,mean_pred,realized
is_hr,prod,0,18398,0.004371058987953545,0.003587346450701163
is_hr,prod,1,19243,0.00753847494527839,0.005976199137348646
is_hr,prod,2,17346,0.01151230860147324,0.009454629309350858
is_hr,prod,3,18539,0.019181132371542713,0.019148821403527697
is_hr,prod,4,18299,0.028544873373561264,0.02814361440515875
is_hr,prod,5,18832,0.036867281391296344,0.03350679694137638
is_hr,prod,6,17960,0.044021516983889376,0.0395879732739421
is_hr,prod,7,18257,0.05140160692808023,0.04622884373117161
is_hr,prod,8,18941,0.05885995518315438,0.05290111398553403
is_hr,prod,9,17430,0.07181198639428595,0.07154331612162937
is_hr,exp,0,18440,0.004443873592461549,0.0039587852494577
is_hr,exp,1,18354,0.00733409617671932,0.005121499400675602
is_hr,exp,2,18303,0.011558335076555539,0.01049008359285363
is_hr,exp,3,18372,0.019527056381152104,0.01834313085129545
is_hr,exp,4,18228,0.02876647266168423,0.027101163045863505
is_hr,exp,5,18437,0.03738669060220148,0.033356836795574114
is_hr,exp,6,18795,0.045219173513968196,0.040010641127959566
is_hr,exp,7,17690,0.051957444693109166,0.046523459581684565
is_hr,exp,8,18762,0.059801723271906554,0.052339835838396756
is_hr,exp,9,17864,0.07244530587054673,0.07210031347962383
is_hr,beast,0,18358,0.0021101645180350895,0.0006536659766859135
is_hr,beast,1,18426,0.0044794716291801165,0.0021708455443395203
is_hr,beast,2,18458,0.009017429392033533,0.008993390399826634
is_hr,beast,3,22150,0.016974278908407234,0.015485327313769752
is_hr,beast,4,16521,0.02505980408937037,0.02396949337207191
is_hr,beast,5,16039,0.03285851598992071,0.030051748862148512
is_hr,beast,6,18584,0.04169060775662606,0.03772061988807576
is_hr,beast,7,18826,0.05167923423249522,0.05030277276107511
is_hr,beast,8,17848,0.06187115906355841,0.06000672344240251
is_hr,beast,9,18035,0.07930941530061185,0.08272802883282507
is_hr,recency,0,26132,0.004669899728804511,0.004439001989897444
is_hr,recency,1,14508,0.008212032634909638,0.005927763992280122
is_hr,recency,2,14590,0.010201506065461646,0.010418094585332419
