model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.16145,0.6613,0.3215,0.0028,0.2153,0.2181
is_hit_calibrated,0.16175,0.6582,0.3174,0.0017,0.2164,0.2181
is_hr_raw,0.02866,0.7384,0.0774,0.0002,0.03,0.0303
is_hr_calibrated,0.02876,0.7275,0.0707,0.0002,0.0305,0.0303
is_strikeout_raw,0.14529,0.7721,0.4333,0.0109,0.2325,0.2216
is_strikeout_calibrated,0.14547,0.7707,0.4318,0.0095,0.2311,0.2216
is_walk_raw,0.05508,0.9254,0.4687,0.0002,0.0863,0.0861
is_walk_calibrated,0.05539,0.9241,0.459,0.0005,0.0866,0.0861
is_xbh_raw,0.06816,0.6774,0.1344,0.0009,0.0767,0.0758
is_xbh_calibrated,0.06828,0.673,0.131,0.0033,0.0791,0.0758
