model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.1615,0.6607,0.3209,0.0025,0.2156,0.2181
is_hit_calibrated,0.16173,0.6586,0.3168,0.0015,0.2166,0.2181
is_hr_raw,0.02865,0.7385,0.0778,0.0,0.0303,0.0303
is_hr_calibrated,0.02876,0.7278,0.0703,0.0002,0.0304,0.0303
is_strikeout_raw,0.14512,0.7726,0.4346,0.0088,0.2304,0.2216
is_strikeout_calibrated,0.14557,0.7702,0.4304,0.0095,0.2311,0.2216
is_walk_raw,0.05515,0.9251,0.4666,0.0006,0.0867,0.0861
is_walk_calibrated,0.05543,0.9241,0.4577,0.0003,0.0864,0.0861
is_xbh_raw,0.06815,0.6783,0.1345,0.0016,0.0774,0.0758
is_xbh_calibrated,0.06827,0.6735,0.1313,0.0035,0.0793,0.0758
