model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.16148,0.6609,0.3212,0.0036,0.2145,0.2181
is_hit_calibrated,0.16173,0.6586,0.3177,0.0015,0.2166,0.2181
is_hr_raw,0.02865,0.7394,0.0777,0.0001,0.0301,0.0303
is_hr_calibrated,0.02876,0.7273,0.0709,0.0003,0.0306,0.0303
is_strikeout_raw,0.14506,0.7729,0.4353,0.0089,0.2305,0.2216
is_strikeout_calibrated,0.14557,0.7701,0.4304,0.0093,0.2309,0.2216
is_walk_raw,0.05512,0.9252,0.4673,0.0004,0.0865,0.0861
is_walk_calibrated,0.05546,0.924,0.4573,0.0004,0.0866,0.0861
is_xbh_raw,0.06816,0.6777,0.1343,0.0011,0.077,0.0758
is_xbh_calibrated,0.06828,0.6731,0.1308,0.0031,0.0789,0.0758
