model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.16149,0.6601,0.3191,0.0016,0.2164,0.218
is_hit_calibrated,0.16221,0.6534,0.308,0.0005,0.2175,0.218
is_hr_raw,0.02878,0.7312,0.0725,0.0014,0.029,0.0303
is_hr_calibrated,0.02892,0.7141,0.0635,0.0004,0.03,0.0303
is_strikeout_raw,0.14483,0.7737,0.4363,0.0054,0.227,0.2216
is_strikeout_calibrated,0.14616,0.7675,0.4219,0.0082,0.2298,0.2216
is_walk_raw,0.05508,0.9251,0.4634,0.0007,0.0854,0.0861
is_walk_calibrated,0.05584,0.9223,0.4489,0.0007,0.0869,0.0861
is_xbh_raw,0.06826,0.6752,0.1318,0.0002,0.0757,0.0759
is_xbh_calibrated,0.06845,0.6681,0.1246,0.0004,0.0763,0.0759
