name,split,OPS_2026,OPS_career,OPS_diff,pct_diff,outlier_score,PA_2026,PA_career,low_n_flag
Alex Call,vs LHP,1.8,0.76,1.04,136.8,5,5,378,LOW-N
Dalton Rushing,vs LHP,1.768,0.639,1.129,176.7,5,8,49,LOW-N
Mookie Betts,vs LHP,0.0,0.895,-0.895,100.0,5,6,1785,LOW-N
Santiago Espinal,vs LHP,0.286,0.748,-0.462,61.8,5,7,642,LOW-N
Max Muncy,vs LHP,1.231,0.79,0.441,55.8,4,13,1033,
Miguel Rojas,vs LHP,1.083,0.74,0.343,46.4,4,13,1227,
Teoscar Hernández,vs LHP,0.421,0.872,-0.451,51.7,4,15,1153,
Andy Pages,vs LHP,0.929,0.836,0.093,11.1,2,14,275,
Hyeseong Kim,vs LHP,0.833,0.942,-0.109,11.6,2,4,25,LOW-N
Kyle Tucker,vs LHP,0.678,0.84,-0.162,19.3,2,18,1114,
Shohei Ohtani,vs LHP,1.041,0.852,0.189,22.2,2,23,1418,
Alex Freeland,vs LHP,0.375,0.39,-0.015,3.8,1,8,24,LOW-N
Freddie Freeman,vs LHP,0.856,0.807,0.049,6.1,1,18,2877,
Will Smith,vs LHP,0.786,0.819,-0.033,4.0,1,10,804,
Andy Pages,vs RHP,1.251,0.752,0.499,66.4,5,46,852,
Dalton Rushing,vs RHP,2.0,0.709,1.291,182.1,5,6,120,LOW-N
Santiago Espinal,vs RHP,1.5,0.617,0.883,143.1,5,2,1143,LOW-N
Miguel Rojas,vs RHP,0.297,0.649,-0.352,54.2,4,14,2959,
Alex Call,vs RHP,0.899,0.693,0.206,29.7,3,11,643,
Kyle Tucker,vs RHP,0.653,0.871,-0.218,25.0,3,49,2111,
Teoscar Hernández,vs RHP,1.018,0.775,0.243,31.4,3,37,3306,
Freddie Freeman,vs RHP,0.754,0.935,-0.181,19.4,2,49,6553,
Hyeseong Kim,vs RHP,0.785,0.671,0.114,17.0,2,13,162,
Max Muncy,vs RHP,0.687,0.842,-0.155,18.4,2,43,3003,
Alex Freeland,vs RHP,0.688,0.658,0.03,4.6,1,37,118,
Mookie Betts,vs RHP,0.891,0.875,0.016,1.8,1,26,5183,
Shohei Ohtani,vs RHP,0.968,1.009,-0.041,4.1,1,50,2984,
Will Smith,vs RHP,0.825,0.839,-0.014,1.7,1,41,2193,
