model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.1617,0.6609,0.3172,0.0053,0.2243,0.219
is_hit_calibrated,0.1619,0.6589,0.314,0.0047,0.2238,0.219
is_hr_raw,0.02935,0.7157,0.0672,0.0021,0.033,0.0308
is_hr_calibrated,0.0294,0.7076,0.0632,0.002,0.0328,0.0308
is_strikeout_raw,0.14282,0.7845,0.4507,0.0014,0.2232,0.2218
is_strikeout_calibrated,0.14358,0.7812,0.4412,0.0033,0.2251,0.2218
is_walk_raw,0.05289,0.9297,0.4719,0.0041,0.0798,0.0839
is_walk_calibrated,0.05318,0.9286,0.4631,0.0035,0.0804,0.0839
is_xbh_raw,0.06876,0.6774,0.1312,0.005,0.0816,0.0765
is_xbh_calibrated,0.06886,0.6734,0.1276,0.0061,0.0826,0.0765
