model,brier,roc_auc,avg_precision,calibration_gap,mean_pred,actual_rate
is_hit_raw,0.16184,0.6591,0.315,0.002,0.2211,0.219
is_hit_calibrated,0.16209,0.6582,0.312,0.0021,0.2212,0.219
is_hr_raw,0.02938,0.7081,0.0647,0.0001,0.0309,0.0308
is_hr_calibrated,0.02943,0.7063,0.0614,0.0003,0.0311,0.0308
is_strikeout_raw,0.14323,0.7826,0.446,0.002,0.2238,0.2218
is_strikeout_calibrated,0.14366,0.7811,0.4399,0.0052,0.227,0.2218
is_walk_raw,0.05322,0.9283,0.4655,0.0052,0.0787,0.0839
is_walk_calibrated,0.05324,0.9285,0.4593,0.0027,0.0812,0.0839
is_xbh_raw,0.06879,0.6744,0.1302,0.0019,0.0784,0.0765
is_xbh_calibrated,0.06887,0.6725,0.1264,0.002,0.0785,0.0765
