feature,mean_abs_shap
in_zone,0.46902314423222735
pitch_count,0.30759472413644284
roll_k_rate_100,0.042896896919484055
roll_bb_rate_100,0.02760653404159212
roll_ba_100,0.023544208853846716
roll_ev_100,0.0233568286325496
cum_career_ba_vs_rhp,0.02191653692175311
cum_career_pa_vs_rhp,0.0133833349645008
cum_career_ba_vs_lhp,0.012465036159427295
roll_la_10,0.012240816880445857
roll_k_rate_30,0.01127796759331594
roll_la_100,0.01080706957139856
month,0.010183075682750373
cum_career_ops_vs_lhp,0.009595727335543331
roll_ev_30,0.00850806398578332
roll_la_30,0.008314903798199056
vs_lhp,0.0075855041230320705
cum_career_ops_vs_rhp,0.007406286904717804
cum_career_pa_vs_lhp,0.006784226157125467
cum_career_hr_vs_rhp,0.006546268400740679
roll_ev_10,0.006314017196213597
roll_bb_rate_30,0.005238472039576103
day_of_week,0.004684641146157701
roll_ba_30,0.004624226935207529
roll_hr_rate_100,0.004382389960008278
cum_career_hr_vs_lhp,0.0035665896766293626
roll_k_rate_10,0.0033257061954903772
roll_hr_rate_30,0.0021765472627895423
roll_ba_10,0.001312612119670328
roll_bb_rate_10,0.0008073632260312905
roll_hr_rate_10,0.0005855353954880728
roll_barrel_100,0.0
roll_barrel_10,0.0
roll_barrel_30,0.0
