feature,mean_abs_shap
in_zone,0.05594128164365073
pitch_count,0.040354192145671146
roll_la_10,0.004822093023824338
cum_career_pa_vs_lhp,0.0047112963388624175
cum_career_ops_vs_lhp,0.003190901226394039
cum_career_pa_vs_rhp,0.002918340895742521
cum_career_hr_vs_rhp,0.0026494438231122086
cum_career_ba_vs_rhp,0.0023817684193569474
roll_ev_30,0.0022368650711169853
roll_ev_10,0.0019292838938504643
roll_k_rate_100,0.0018751840651323455
roll_hr_rate_100,0.001850029951250501
roll_ev_100,0.0017979651652538632
roll_la_100,0.0017026420340030424
cum_career_hr_vs_lhp,0.0016409651363955427
roll_la_30,0.0015926343165986333
cum_career_ba_vs_lhp,0.0015160655091354424
roll_bb_rate_100,0.0014006732083838088
roll_ba_100,0.0012719716148411212
roll_ba_30,0.0012056322184347144
roll_k_rate_30,0.00119698981150754
month,0.0011803999278845664
cum_career_ops_vs_rhp,0.001113577363072476
roll_bb_rate_30,0.0010301088247624372
roll_ba_10,0.0010022825982995637
day_of_week,0.0008899809264015794
roll_bb_rate_10,0.0007749455212290808
roll_hr_rate_30,0.0005957065020360916
roll_k_rate_10,0.0005881167692955379
vs_lhp,0.0004662572224862263
roll_hr_rate_10,0.00030383339300183533
roll_barrel_100,0.0
roll_barrel_10,0.0
roll_barrel_30,0.0
